# Run	T(K)		a	A	b	A	c	A	V	A3	gO	V	A^3	Vinet	3rd B-M
# Sintered-Diamond multianvil
# M
1	1300		0   4.6487	0.0011	4.8147	0.0011	6.7134	0.0019	150.26	0.11	66.415	0.011	30.42	0.04	30.07	0.04
1	1100		0   4.6402	0.0013	4.8108	0.0013	6.703	0.002	149.63	0.14	66.136	0.01	30.22	0.04	29.91	0.04
1	900		0   4.6354	0.0014	4.808	0.0014	6.691	0.002	149.13	0.14	65.95	0.07	29.67	0.03	29.41	0.03
1	700		0   4.63	0.0015	4.8054	0.0015	6.687	0.003	148.77	0.15	65.81	0.02	28.99	0.1	28.78	0.1
1	500		0   4.6255	0.001	4.8024	0.001	6.6813	0.0017	148.42	0.1	65.586	0.011	28.68	0.05	28.52	0.04
1	300		0   4.6238	0.0006	4.7995	0.0006	6.6805	0.0011	148.26	0.06	65.506	0.02	27.966	0.08	27.855	0.08
2	1500		0   4.5991	0.0007	4.7738	0.0007	6.6461	0.0012	145.92	0.07	63.85	0.03	42.82	0.15	42.29	0.15
2	1300		0   4.5932	0.0007	4.7726	0.0007	6.6417	0.0012	145.6	0.07	63.71	0.02	42.15	0.11	41.69	0.11
2	1100		0   4.5885	0.0008	4.7684	0.0008	6.6347	0.0014	145.17	0.08	63.591	0.012	41.37	0.06	40.98	0.06
2	900		0   4.5847	0.0006	4.7667	0.0006	6.6274	0.0011	144.83	0.06	63.39	0.02	41.02	0.1	40.7	0.1
2	700		0   4.5804	0.0008	4.7637	0.0008	6.6225	0.0014	144.5	0.08	63.266	0.011	40.33	0.05	40.09	0.05
2	500		0   4.5774	0.0007	4.7617	0.0007	6.6196	0.0012	144.28	0.07	63.151	0.011	39.67	0.06	39.49	0.06
2	300		0   4.5755	0.0008	4.7603	0.0008	6.6178	0.0014	144.14	0.08	63.07	0.03	39.03	0.13	38.91	0.13
3	1500		0   4.5553	0.0005	4.7417	0.0005	6.5933	0.0009	142.42	0.05	61.98	0.02	52.31	0.11	51.73	0.11
3	1300		0   4.5518	0.0007	4.7406	0.0007	6.5866	0.0013	142.13	0.07	61.831	0.019	51.73	0.11	51.23	0.11
3	1100		0   4.5466	0.0007	4.7384	0.0008	6.5807	0.0013	141.77	0.07	61.69	0.02	51.14	0.13	50.73	0.13
3	900		0   4.5437	0.0008	4.7344	0.0008	6.5758	0.0014	141.46	0.08	61.54	0.02	50.61	0.13	50.28	0.13
3	700		0   4.5392	0.0008	4.7332	0.0008	6.5719	0.0014	141.19	0.08	61.39	0.04	50.2	0.2	49.9	0.2
3	500		0   4.536	0.0007	4.7317	0.0008	6.5682	0.0013	140.97	0.07	61.3	0.04	49.4	0.2	49.2	0.2
3	300		0   4.5335	0.0006	4.7295	0.0006	6.5681	0.001	140.82	0.05	61.24	0.03	48.71	0.15	48.62	0.15
4	1500		0   4.5188	0.0011	4.7133	0.0012	6.5419	0.0018	139.33	0.11	60.26	0.02	62.2	0.13	61.61	0.13
4	1300		0   4.5108	0.0011	4.7098	0.0012	6.533	0.002	138.79	0.11	59.98	0.03	62.6	0.2	62.1	0.2
4	1100		0   4.506	0.0009	4.7087	0.0009	6.5256	0.0016	138.45	0.09	59.78	0.06	62.4	0.4	62	0.4
4	900		0   4.5023	0.0004	4.7042	0.0014	6.522	0.002	138.13	0.13	59.66	0.05	61.8	0.3	61.6	0.3
4	700		0   4.4974	0.0019	4.7025	0.0019	6.515	0.003	137.8	0.19	59.5	0.05	61.5	0.3	61.4	0.3
4	500		0   4.4946	0.0017	4.7012	0.0017	6.511	0.003	137.57	0.17	59.4	0.05	60.9	0.4	60.8	0.4
4	300		0   4.4931	0.0017	4.6996	0.0017	6.506	0.003	137.38	0.16	59.29	0.05	60.6	0.4	60.6	0.4
# Laser-Heated DAC				0		0		0		0		0		0		0
1	1500	20	4.52416	0.0019	4.7204	0.0002	6.5521	0.0004	139.93	0.02	60.63	0.03	60	0.3	59.4	0.3
1	300	   0   4.5158	0.0003	4.7185	0.0003	6.5424	0.0005	139.41	0.03	60.37	0.04	53.8	0.2	53.7	0.2
1	1980	30	4.5379	0.0002	4.7277	0.0003	6.5674	0.0004	140.9	0.02	61.06	0.05	60.8	0.5	60	0.5
1	300		0   4.5258	0.0004	4.7244	0.0004	6.5528	0.0007	140.11	0.04	60.72	0.05	51.7	0.3	51.7	0.3
2	1500	20	4.4892	0.0002	4.6958	0.0002	6.5101	0.0005	137.23	0.02	59.208	0.015	68.9	0.2	68.4	0.2
2	300		0   4.4885	0.0004	4.6992	0.0004	6.5104	0.0008	137.32	0.04	59.281	0.011	60.63	0.08	60.65	0.08
3	1500	20	4.4075	0.001	4.6422	0.001	6.4097	0.0016	131.15	0.09	55.92	0.02	93.7	0.3	93.4	0.3
3	1900	30	4.43978	0.0019	4.6596	0.0002	6.4487	0.0004	133.408	0.19	57.21	0.02	86.2	0.4	85.5	0.4
