# Table 4. Conditions of equilibration experiments in the NMAS system and the average compositions of phases	
# Run	Starting mix 	Time (h)	ramP	P (kbar)	TC	Phase	Number of analyses	Cations/6 oxygens				
#								Na	Mg	Al 	Si	Sum
8	F	8	0	60	1200	cpx	10	0.543	0.885	0.57	1.995	3.992
8	F	8	0	60	1200	opx	25	0.118	1.76	0.134	1.99	4.002
7	F	7	0	60	1300	cpx	28	0.433	1.094	0.454	2.004	3.985
7	F	7	0	60	1300	opx	34	0.123	1.738	0.135	1.999	3.995
5	G	5	0	60	1400	cpx	23	0.407	1.192	0.425	1.983	4.007
5	G	5	0	60	1400	opx	23	0.126	1.764	0.146	1.977	4.013
58	F	7	160	100	1450	gt	3	0.39	1.088	0.612	1.9	3.99
58	F	7	160	100	1450	cpx	7	0.421	1.168	0.395	2.015	3.999
58	F	7	160	100	1450	hpx?	15	0.214	1.603	0.182	2.009	4.008
82	G	7	160	100	1550	gt	2	0.492	0.908	0.645	1.939	3.984
82	G	7	160	100	1550	cpx	11	0.429	1.141	0.424	2.005	3.999
82	G	7	160	100	1550	hpx?	8	0.24	1.513	0.241	2.002	3.996
78	G	7.2	180	107	1550	gt	10	0.47	0.967	0.641	1.918	3.996
78	G	7.2	180	107	1550	cpx	17	0.47	1.073	0.458	2.002	4.003
78	G	7.2	180	107	1550	hpx?	4	0.227	1.516	0.285	1.972	4
84	G	7	180	107	1650	gt	11	0.449	1.048	0.574	1.933	4.004
84	G	7	180	107	1650	cpx	25	0.47	1.089	0.452	1.999	4.01
84	G	7	180	107	1650	hpx?	3	0.164	1.668	0.157	2.007	3.996
72	G	7.1	200	113	1550	gt	3	0.417	1.087	0.612	1.893	4.009
72	G	7.1	200	113	1550	cpx	12	0.501	0.994	0.5	2.003	3.998
72	G	7.1	200	113	1550	hpx	5	0.129	1.686	0.193	1.98	3.988
67	F	7	230	121	1550	gt	10	0.473	0.987	0.609	1.932	4.001
67	F	7	230	121	1550	cpx	17	0.483	1.047	0.465	2.007	4.002
67	F	7	230	121	1550	hpx	1	0.096	1.839	0.113	1.972	4.02
501	F	8	294	135	1650	gt	4	0.519	0.983	0.52	1.989	4.011
501	F	8	294	135	1650	cpx	8	0.614	0.903	0.395	2.099	4.011
501	F	8	294	135	1650	hpx	4	0.059	1.926	0.036	1.995	4.016
53	F	5	320	140	1350	gt	21	0.364	1.24	0.436	1.962	4.002
53	F	5	320	140	1350	hpx	4	0.045	1.901	0.063	1.991	4
54	F	6	320	140	1500	gt	1	0.471	1.045	0.496	1.988	4
54	F	6	320	140	1500	cpx	5	0.641	0.728	0.616	2.014	3.999
54	F	6	320	140	1500	hpx	5	0.066	1.863	0.099	1.977	4.005
61	F	6	320	140	1650	gt	5	0.373	1.21	0.41	1.994	3.987
88	H	7	320	140	1650	gt	6	0.472	1.082	0.448	2.005	4.007
95	I	6.2	320	140	1650	gt	4	0.395	1.243	0.389	1.988	4.015
95	I	6.2	320	140	1650	hpx	15	0.03	1.964	0.025	1.992	4.011
163	J	5	320	140	1650	gt	1	0.472	1.126	0.431	1.995	4.024
163	J	5	320	140	1650	cpx	15	0.708	0.629	0.632	2.034	4.003
80	F	7	400	152	1650	gt	43	0.359	1.277	0.361	2.001	3.998
80	F	7	400	152	1650	hpx	6	0.021	1.982	0.018	1.99	4.011
380	K	7	400	152	1650	gt	7	0.416	1.235	0.291	2.06	4.002
380	K	7	400	152	1650	hpx	2	0.018	1.978	0.016	1.994	4.006
380	K	7	400	152	1650	fo	3	0.021	2.969	0.012	1.501	4.503
# 380cold	K	7	400	152	1450	Na2MgSiO4	1	3.127	1.405	0.139	1.411	6.082
387	L	7	400	152	1850	gt	3	0.219	1.515	0.279	1.978	3.991
387	L	7	400	152	1850	hpx	5	0.019	1.972	0.018	1.996	4.005
387	L	7	400	152	1850	fo	3	0.012	2.963	0.013	1.506	4.494
# 387cold	L	7	400	152	1650	Px???	6	0.842	0.732	0.025	2.405	4.004
389	K	7	500	160	1650	gt	23	0.254	1.503	0.254	1.995	4.006
389	K	7	500	160	1650	hpx	2	0.049	1.946	0.016	2.003	4.014
389	K	7	500	160	1650	Bt	2	0.036	2.959	0.018	1.498	4.511
# 389cold	K	7	500	160	1450	gt	3	0.274	1.471	0.266	1.996	4.007
# 389cold	K	7	500	160	1450	Na2MgSiO4	1	2.811	1.463	0.039	1.537	5.85
520	M	7.3	600	165	1650	gt	10	0.141	1.378	0.863	1.628	4.01
520	M	7.3	600	165	1650	cpx	3	0.958	0.113	0.954	1.988	4.013
#								Pb	Mg	Al 	Si/10 ox.	
#					1450	PbAl2Si3O10	7	1.067	0.004	2.012	2.955	6.038
