% Data from Nestola et al., 2006
% P (Gpa)	P err	V (m^3)	Verr
% Jd74Ae26
0.0001	0.00001	6.14905791768675E-005	0.000000003
0.075	0.005	0.000061456	0.000000003
0.255	0.004	6.13731474217125E-005	0.000000003
0.52	0.004	6.12466824546225E-005	0.000000003
0.706	0.004	6.1163878011885E-005	0.000000003
0.911	0.005	6.10645126806E-005	0.000000006
1.074	0.004	6.10027857323775E-005	0.000000003
1.344	0.005	6.08793318359325E-005	0.000000003
1.949	0.004	6.0603818871915E-005	0.000000003
2.234	0.005	6.048638711676E-005	0.000000003
2.652	0.005	6.03072284133825E-005	0.000000003
3.291	0.005	6.0037737590655E-005	0.000000003
3.717	0.006	5.98615899579225E-005	0.000000003
4.519	0.006	5.9543922004875E-005	0.000000003
5.126	0.006	5.93135751005325E-005	4.5166059675E-009
5.835	0.007	0.000059023	0.000000003
6.33	0.008	5.88363204033E-005	0.000000003
7.123	0.007	5.8562312974605E-005	0.000000003
7.26	0.008	5.85005860263825E-005	0.000000009
7.386	0.007	5.84614421079975E-005	0.000000003
7.755	0.007	5.83259439289725E-005	0.000000006
