% T,K P,GPa	 Au	V/V	0 Fe	a,A	 Fe	c,A Fe	V,A^3 Fe	c/a
573     18.19 27   0.9238    2.461    3.9557    20.75 12       1.6074
973     17.2 3   0.9373    2.4727    4.0045    21.2 11   1.6195
873     16.99 14   0.9357    2.4719    3.9995    21.16 11   1.618
773     16.69 14   0.9345    2.4696    3.9931    21.09 11   1.6169
673     16.31 8   0.933    2.4679    3.9874    21.03 11   1.6157  
573     16.1 13   0.9316    2.4664    3.9813    20.97 11   1.6142  
473     15.75 5   0.9305    2.465    3.9774    20.93 11   1.6136  
373     15.41 2   0.9293    2.4632    3.9742    20.88 11   1.6134  
298     15.31 8   0.9281    2.4626    3.9711    20.86 11   1.6126  
298     14.9 19   0.9294    2.4627    3.9728    20.87 11   1.6132
873     16.6 17   0.9371    2.4726    4.0007    21.18 11   1.618
773     16.37 13   0.9354    2.4709    3.9933    21.11 11   1.6161
673     16.05 17   0.9343    2.4688    3.9892    21.06 11   1.6159
573     15.66 13   0.9332    2.4667    3.9837    20.99 11   1.615
473     15.41 14   0.9317    2.4661    3.9796    20.96 11   1.6137
373     15.15 24   0.9299    2.4644    3.9755    20.91 11   1.6131
298     14.94 21   0.9291    2.4635    3.974    20.89 12   1.6131  
298     14.35 32   0.9313    2.4646    3.9753    20.91 11   1.6129  
573     15.21 22   0.9346    2.4697    3.9869    21.06 12   1.6143  
873     16.13 17   0.9387    2.4741    4.0049    21.23 12   1.6187  
773     15.8 19   0.9377    2.4727    3.9966    21.16 11   1.6163  
673     15.56 24   0.9361    2.4705    3.9932    21.11 12   1.6163  
573     15.17 21   0.9348    2.4686    3.9876    21.04 12   1.6153  
473     14.84 25   0.9338    2.4669    3.9841    21 12   1.615  
373     14.55 28   0.9325    2.4664    3.977    20.95 12   1.6125  
298     14.39 24   0.9314    2.4644    3.9756    20.91 11   1.6132  
298     13.67 29   0.9339    2.4669    3.9782    20.97 11   1.6126  
573     14.55 29   0.9376    2.4709    3.9896    21.1 11   1.6146  
773     15.15 21   0.9405    2.4742    4.0015    21.21 11   1.6173  
673     14.85 18   0.9393    2.4723    3.9956    21.15 11   1.6161  
573     14.57 23   0.9374    2.4717    3.9898    21.11 12   1.6142  
473     14.15 27   0.9365    2.4693    3.9875    21.06 12   1.6148  
373     13.93 25   0.9348    2.4685    3.9823    21.02 12   1.6133  
298     13.73 31   0.9338    2.467    3.9789    20.97 11   1.6128  
298     12.36 27   0.9392    2.4726    3.987    21.11 12   1.6124  
573     13.08 31   0.9434    2.4766    3.9996    21.24 12   1.615  
773     13.66 35   0.947    2.4818    4.0106    21.39 11   1.616  
673     13.27 28   0.9459    2.4794    4.006    21.33 12   1.6157  
573     12.97 40   0.944    2.4782    4.0001    21.28 12   1.6141  
473     12.66 39   0.9428    2.4764    3.9971    21.23 12   1.614  
373     12.33 41   0.9414    2.475    3.9927    21.18 12   1.6132  
298     12.16 45   0.9402    2.4738    3.9896    21.14 12   1.6127  
298     11.44 26   0.9429    2.4761    3.9939    21.21 12   1.613  
573     12.29 21   0.9466    2.48    4.0044    21.33 11   1.6147  
773     13.01 18   0.9495    2.4856    4.0186    21.5 12   1.6167  
673     12.69 20   0.9482    2.483    4.0134    21.43 12   1.6164  
573     12.35 19   0.9468    2.4815    4.0073    21.37 12   1.6149  
473     12.01 19   0.9452    2.4795    4.0026    21.31 12   1.6143  
373     11.77 15   0.9438    2.4782    3.9985    21.27 12   1.6135  
298     11.51 22   0.9428    2.4774    3.9947    21.23 12   1.6125  
298     10.7 16   0.9462    2.48    4.0002    21.31 12   1.613  
573     11.53 25   0.9505    2.4833    4.0111    21.42 11   1.6152  
773     12.18 14   0.953    2.4887    4.0258    21.59 12   1.6176  
673     11.82 14   0.952    2.4868    4.0197    21.53 12   1.6164  
573     11.49 13   0.9507    2.4857    4.0132    21.47 12   1.6145  
473     11.14 17   0.9491    2.4829    4.0087    21.4 11   1.6145  
373     10.79 20   0.9477    2.4814    4.0057    21.36 12   1.6143  
298     10.66 18   0.9463    2.4825    4.0022    21.36 13   1.6122  
298     9.69 16   0.9506    2.4843    4.0072    21.42 12   1.613  
573     10.56 14   0.9549    2.4886    4.0205    21.56 12   1.6156  
773     11.02 11   0.9588    2.4937    4.0327    21.72 12   1.6171  
673     10.76 10   0.9571    2.4917    4.028    21.66 12   1.6166  
573     10.46 14   0.9554    2.4891    4.0231    21.59 12   1.6163  
473     10.08 13   0.9541    2.4878    4.0135    21.51 11   1.6132  
373     9.78 11   0.9527    2.4859    4.0128    21.47 12   1.6142  
298     9.52 15   0.9513    2.4848    4.0098    21.44 12   1.6137  
298     8.43 13   0.9561    2.4881    4.017    21.54 12   1.6144  
673     9.64 10   0.9624    2.4957    4.0366    21.77 12   1.6174  
473     8.96 11   0.9591    2.493    4.0252    21.66 12   1.6146  
298     8.32 14   0.9567    2.4893    4.0178    21.56 12   1.614  
298     6.72 5   0.9643    2.4946    4.0237    21.68 15   1.613  
298     5.98 8   0.968    2.4959    4.0233    21.71 15   1.612  
