% Data from Nestola et al., 2006
% P (Gpa)	P err	V (m^3)	Verr
% Jd100Ae0			
0.0001	0.00001	6.05541362062725E-005	0.000000003
0.889	0.004	6.0170224699035E-005	1.5055353225E-009
1.163	0.012	6.00542984792025E-005	0.000000003
1.55	0.004	5.9887184058405E-005	0.000000003
2.499	0.005	5.948068952133E-005	0.000000003
3.14	0.005	5.92262540518275E-005	1.5055353225E-009
3.914	0.006	5.89161137753925E-005	0.000000003
4.87	0.008	5.855327976267E-005	0.000000006
5.347	0.007	5.837261552397E-005	0.000000003
5.817	0.008	5.82055011031725E-005	0.000000003
6.939	0.006	0.000057802	0.000000003
7.863	0.007	5.74918773603075E-005	4.5166059675E-009
8.309	0.009	5.7327774010155E-005	4.5166059675E-009
