%  	Starting composition	Pressure (GPa)	Temperature (K)	Duration (min)	O wt %	Err	Si wt %	Err	O mol fraction	Err	Si mol fraction	Err	X FeSiO3 (pv)	err
% Ozawa et al. (2009)														
1	(Mg0.8Fe0.2)2SiO4	124.0	3150	01.0	04.90	01.60	04.40	00.20	0.1467	0.0479	0.0751	0.0034	0.195	0.021
2	(Mg0.9Fe0.1)2SiO4	146.0	3500	01.0	19.30	02.20	01.00	00.10	0.4520	0.0515	0.0133	0.0013	0.019	0.007
3	Mg0.9Fe0.1SiO3	    130.0	3000	00.5	03.90	02.00	03.50	00.10	0.1203	0.0617	0.0615	0.0018	0.025	0.003
% Takafuji et al. (2005)														
1	Mg0.9Fe0.1SiO3	    092.8	3150	01.0	04.30	00.90	03.10	00.70	0.1319	0.0276	0.0542	0.0122	0.048	0.013
2–1	Mg0.9Fe0.1SiO3	    095.0	3050	01.0	04.70	00.90	03.10	00.30	0.1429	0.0274	0.0537	0.0052	0.044	0.004
2–2	Mg0.9Fe0.1SiO3	    095.0	3050	01.0	04.20	00.90	03.10	00.60	0.1291	0.0277	0.0543	0.0105	0.048	0.006
3	Mg0.9Fe0.1SiO3	    055.3	3000	03.0	01.90	00.50	01.50	00.20	0.0624	0.0164	0.0281	0.0037	0.073	0.014
4	Mg0.9Fe0.1SiO3	    025.0	2500	12.0	00.70	00.30	00.30	00.10	0.0239	0.0103	0.0058	0.0019	0.099	0.010
7	Mg0.8Fe0.2SiO3	    097.2	3150	01.0	05.30	01.30	02.80	00.40	0.1595	0.0391	0.0480	0.0069	0.119	0.012
% Kawazoe and Ohtani (2006)														
83	MgSiO3	            027.0	3040	01.0	02.25	00.01	01.70	00.02	0.0732	0.0003	0.0315	0.0004	0.110	0.006
111	MgSiO3	            027.0	2960	05.0	03.07	00.04	00.44	00.07	0.0991	0.0013	0.0081	0.0013	0.153	0.004
110	MgSiO3	            027.0	2800	30.0	04.83	00.06	00.22	00.03	0.1502	0.0019	0.0039	0.0005	0.186	0.006
102	Mg0.9Fe0.1SiO3	    027.0	2800	60.0	07.52	00.10	00.18	00.03	0.2207	0.0029	0.0030	0.0005	0.280	0.011
86	MgSiO3	            027.0	2640	50.0	01.63	00.02	00.15	00.02	0.0546	0.0007	0.0029	0.0004	0.094	0.008
84	MgSiO3	            027.0	2320	60.0	01.37	00.02	00.05	00.01	0.0462	0.0007	0.0010	0.0002	0.173	0.010
